Department,JobLevel,n_vacantes,avg_ttf,median_ttf,min_ttf,max_ttf,avg_costo
Human Resources,1,10,30.1,32.5,12,39,4737.25
Human Resources,3,2,51.5,51.5,43,60,8105.27
Research & Development,1,101,24.96,23.0,10,40,3928.36
Research & Development,2,15,37.13,38.0,20,49,5844.19
Research & Development,3,13,49.23,47.0,36,65,7748.13
Research & Development,4,1,78.0,78.0,78,78,12275.94
Research & Development,5,3,90.33,93.0,82,96,14217.01
Sales,1,32,23.56,24.0,11,40,3708.36
Sales,2,37,36.84,38.0,21,50,5797.68
Sales,3,17,51.18,49.0,38,64,8054.35
Sales,4,4,74.0,78.0,55,85,11646.41
Sales,5,2,87.0,87.0,79,95,13692.4
