Time_Years,Survival,CI_Lower,CI_Upper,Department
1,0.9365079365079365,0.8781894235042496,0.9986992460495161,Human Resources
2,0.9042145593869733,0.8341790247901255,0.9801300981082358,Human Resources
3,0.8680459770114943,0.7866261912043134,0.95789312208412,Human Resources
4,0.8473782156540778,0.7596943752390466,0.945182515191252,Human Resources
5,0.8250787889263389,0.7309796363776021,0.9312913439143968,Human Resources
6,0.8250787889263389,0.7309796363776021,0.9312913439143968,Human Resources
7,0.7907005060544081,0.6825750722150484,0.9159538865751644,Human Resources
8,0.7907005060544081,0.6825750722150484,0.9159538865751644,Human Resources
9,0.7907005060544081,0.6825750722150484,0.9159538865751644,Human Resources
10,0.7907005060544081,0.6825750722150484,0.9159538865751644,Human Resources
11,0.7907005060544081,0.6825750722150484,0.9159538865751644,Human Resources
20,0.6777432909037784,0.4841941157218879,0.9486607818028866,Human Resources
21,0.6777432909037784,0.4841941157218879,0.9486607818028866,Human Resources
22,0.6777432909037784,0.4841941157218879,0.9486607818028866,Human Resources
32,0.6777432909037784,0.4841941157218879,0.9486607818028866,Human Resources
33,0.6777432909037784,0.4841941157218879,0.9486607818028866,Human Resources
0,0.9906347554630593,0.9845636393594623,0.9967433078981132,Research & Development
1,0.9503305577033203,0.9365866578607989,0.9642761418014265,Research & Development
2,0.9351159059174297,0.9193480438514552,0.9511542047084229,Research & Development
3,0.9249377736081243,0.9078747157092387,0.9423215232718789,Research & Development
4,0.9092849805162946,0.8902319793143073,0.9287457595371404,Research & Development
5,0.8885832208898291,0.866990410299565,0.9107138107492155,Research & Development
6,0.8805235091357263,0.8577784123878904,0.9038717213485786,Research & Development
7,0.8624150565056857,0.8370349659815604,0.888564707467776,Research & Development
8,0.8520245136562196,0.8250708059488643,0.879858754711665,Research & Development
9,0.8398527348897021,0.8108830117458713,0.8698574345306028,Research & Development
10,0.788731264070329,0.7516824067534906,0.8276061822556288,Research & Development
11,0.788731264070329,0.7516824067534906,0.8276061822556288,Research & Development
12,0.788731264070329,0.7516824067534906,0.8276061822556288,Research & Development
13,0.7825207816760744,0.7439511903238516,0.8230899845571529,Research & Development
14,0.7825207816760744,0.7439511903238516,0.8230899845571529,Research & Development
15,0.7825207816760744,0.7439511903238516,0.8230899845571529,Research & Development
16,0.7825207816760744,0.7439511903238516,0.8230899845571529,Research & Development
17,0.7728600312850117,0.7306936629495147,0.8174597074603875,Research & Development
18,0.7624159768081872,0.716496647289782,0.8112782158731978,Research & Development
19,0.7624159768081872,0.716496647289782,0.8112782158731978,Research & Development
20,0.7624159768081872,0.716496647289782,0.8112782158731978,Research & Development
21,0.7624159768081872,0.716496647289782,0.8112782158731978,Research & Development
22,0.7385904775329313,0.676421567643763,0.8064732403530027,Research & Development
23,0.7385904775329313,0.676421567643763,0.8064732403530027,Research & Development
24,0.7385904775329313,0.676421567643763,0.8064732403530027,Research & Development
25,0.7385904775329313,0.676421567643763,0.8064732403530027,Research & Development
26,0.7385904775329313,0.676421567643763,0.8064732403530027,Research & Development
27,0.7385904775329313,0.676421567643763,0.8064732403530027,Research & Development
29,0.7385904775329313,0.676421567643763,0.8064732403530027,Research & Development
30,0.7385904775329313,0.676421567643763,0.8064732403530027,Research & Development
31,0.6565248689181611,0.5127596614710692,0.8405983073462338,Research & Development
32,0.6565248689181611,0.5127596614710692,0.8405983073462338,Research & Development
33,0.5252198951345289,0.31756077567902014,0.8686713201757373,Research & Development
36,0.5252198951345289,0.31756077567902014,0.8686713201757373,Research & Development
40,0,NA,NA,Research & Development
0,0.984304932735426,0.9728370094372207,0.9959080413354832,Sales
1,0.9452998421608286,0.9242564063777542,0.9668223941139407,Sales
2,0.915835950976595,0.8898610930029947,0.9425690095862876,Sales
3,0.8891351943883561,0.8593099884604577,0.9199955831031266,Sales
4,0.8689275763340752,0.8364157802320709,0.9027031181840198,Sales
5,0.8472816936495965,0.8120534701701306,0.8840381757660942,Sales
6,0.8285365234361098,0.7906732143747874,0.868213009100622,Sales
7,0.8204532402806356,0.7814469634035772,0.8614065330232147,Sales
8,0.7971449095908448,0.7545831319688187,0.8421073569835037,Sales
9,0.7758877120017557,0.7300242844576417,0.8246324875104198,Sales
10,0.7502385314397142,0.7000310256035472,0.8040470114471551,Sales
11,0.7319400306728919,0.6775200090065593,0.7907311981633997,Sales
12,0.7319400306728919,0.6775200090065593,0.7907311981633997,Sales
13,0.7208500302081512,0.6635332626994102,0.7831178861134046,Sales
14,0.6955570466920757,0.6315631392053775,0.7660352151199186,Sales
15,0.6819186732275252,0.6145457533309963,0.7566777158183872,Sales
16,0.6652865104658783,0.5931714189042998,0.7461690278763646,Sales
17,0.6652865104658783,0.5931714189042998,0.7461690278763646,Sales
18,0.6652865104658783,0.5931714189042998,0.7461690278763646,Sales
19,0.6438256552895596,0.5644880015038873,0.7343140568173374,Sales
20,0.6438256552895596,0.5644880015038873,0.7343140568173374,Sales
21,0.6131672907519615,0.5211465074855869,0.7214365270566429,Sales
22,0.6131672907519615,0.5211465074855869,0.7214365270566429,Sales
23,0.5660005760787338,0.45151925303807733,0.7095082877771379,Sales
24,0.5188338614055059,0.39089730558441854,0.6886426994898114,Sales
25,0.5188338614055059,0.39089730558441854,0.6886426994898114,Sales
26,0.5188338614055059,0.39089730558441854,0.6886426994898114,Sales
29,0.5188338614055059,0.39089730558441854,0.6886426994898114,Sales
32,0.41506708912440476,0.2463303240620122,0.6993888760152643,Sales
33,0.41506708912440476,0.2463303240620122,0.6993888760152643,Sales
34,0.41506708912440476,0.2463303240620122,0.6993888760152643,Sales
36,0.41506708912440476,0.2463303240620122,0.6993888760152643,Sales
