,Department,mes,headcount
0,Human Resources,0,63
1,Human Resources,1,63
2,Human Resources,2,63
3,Human Resources,3,63
4,Human Resources,4,63
5,Human Resources,5,63
6,Human Resources,6,63
7,Human Resources,7,63
8,Human Resources,8,63
9,Human Resources,9,63
10,Human Resources,10,63
11,Human Resources,11,63
12,Human Resources,12,63
13,Research & Development,0,961
14,Research & Development,1,960
15,Research & Development,2,959
16,Research & Development,3,958
17,Research & Development,4,957
18,Research & Development,5,956
19,Research & Development,6,955
20,Research & Development,7,954
21,Research & Development,8,953
22,Research & Development,9,952
23,Research & Development,10,951
24,Research & Development,11,950
25,Research & Development,12,949
26,Sales,0,446
27,Sales,1,446
28,Sales,2,446
29,Sales,3,446
30,Sales,4,446
31,Sales,5,446
32,Sales,6,446
33,Sales,7,446
34,Sales,8,446
35,Sales,9,446
36,Sales,10,446
37,Sales,11,446
38,Sales,12,446
