Department,mes,headcount
Human Resources,0,63
Human Resources,1,63
Human Resources,2,63
Human Resources,3,63
Human Resources,4,63
Human Resources,5,63
Human Resources,6,63
Human Resources,7,63
Human Resources,8,63
Human Resources,9,63
Human Resources,10,63
Human Resources,11,63
Human Resources,12,63
Research & Development,0,961
Research & Development,1,959
Research & Development,2,957
Research & Development,3,955
Research & Development,4,953
Research & Development,5,951
Research & Development,6,949
Research & Development,7,947
Research & Development,8,945
Research & Development,9,943
Research & Development,10,941
Research & Development,11,939
Research & Development,12,937
Sales,0,446
Sales,1,444
Sales,2,442
Sales,3,440
Sales,4,438
Sales,5,436
Sales,6,435
Sales,7,434
Sales,8,433
Sales,9,432
Sales,10,431
Sales,11,430
Sales,12,429
